Psalm	Sources	Type	Title	First Line	Meter	Tune
30A	Seddon, James E.|Seerveld, Calvin|Warren, Norman L.	Music	I Worship You O LORD	I worship You, O LORD for You have raised me up	6.6.6.6.6.6	BISHOP TUCKER
30B	Kreider, Dan|Leckebusch, Martin	Music	I Will Sing Your Mercies, Lord	I will sing Your mercies, Lord	7.7.7.7 REFRAIN	NEW PSALM 30
31A	La Scala Santa|Post, Marie J.	Music	I Seek My Refuge in You, LORD	I seek my refuge in You, LORD	8.8.8.8 LMD	COLERAINE
31B	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)	Text	Whate'er Events Betide	What'er events betide	6.6.8.6 SMD	N/A
31C	Turl, Emma|Warren, Norman L.	Music	My Refuge, LORD!	My refuge, LORD	8.8.6.8.8.8.6	BANNER OF HOPE
31D	Kimbrough, Wendell	Music	In You LORD, I Refuge Take	In You, LORD I refuge take	7.7.7.7 D	PSALM 31A
32A	Southern Harmony, The (William Walker)|Watts, Isaac|Wilbur, Gregory D.	Music	Bless'd Is the Man	Bless'd is the man, forever Bless'd	8.8.8.8 LM	DISTRESS
32B	Regier, David P.	Music	How Bless'd Is the One	How Bless'd is the one whose offense is forgiv'n	11.11.11.11	ST. DENIO
32C	Parry, C. Hubert H.|Sing Psalms (2003)	Music	How Blessed the One	How blessed the one who has received forgiveness for his sin	8.6.8.8.6.6	REPTON
32D	Wesley, Charles	Text	Bless'd Is the Man	Bless'd is the man, supremely Bless'd	8.8.8.8 LM	N/A
33A	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)	Music	Let All the Just	Let all the just to God with joy their cheerful voices raise	8.6.8.6 CM	LAND OF REST
33B	Parry, C. Hubert H.|Watts, Isaac	Music	Ye Holy Souls in God Rejoice	Ye holy souls in God rejoice	8.8.8.8 LMD	JERUSALEM
33C	Sing Psalms (2003)	Text	Let Earth, and All That Live Therein	Let earth, and all that live therein	8.6.8.6 CM	N/A
34A	Watts, Isaac	Text	LORD, I Will Bless Thee	LORD, I will bless thee all my days	8.8.8.8 LM	N/A
34B	Dudley-Smith, Timothy|Prichard, Rowland H.	Music	Tell His Praise in Song and Story	Tell His praise in song and story	8.7.8.7 D	HYFRYDOL
34C	Barnard, Shane|Rigney, Joy	Music	Taste and See	I sought the LORD	IRREGULAR	N/A
35A	Lyte, Henry Francis	Text	O Plead My Cause	O plead my cause, Bless'd Savior, plead	8.6.8.6 CM	N/A
35B	Irons, Joseph	Music	Plead My Cause	Plead my cause, LORD of hosts	6.6.6.7 D	BETHLEHEM
35C	Darwell, John|Idle, Christopher	Music	Contend, O LORD	Contend, O LORD, with those who will contend with me	6.6.6.6.8.8	DARWALL
35D	Barthélémon, Francois H.|Sing Psalms (2003)	Music	LORD Plead My Case	LORD plead my case when I am charged	8.6.8.6 CM	BARTHÉLÉMON
36A	Crotch, William|Genevan Psalter|Watts, Isaac	Music	When Man Grows Bold In Sin	When man grows bold in sin	6.6.8.6 SM	ST. MICHAEL
36B	Watts, Isaac|Webb, Philip	Music	High in the Heav'ns Eternal God	High in the heav'ns eternal God	8.8.8.8 LMD	SOPHIA
36C	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	Sin's Voice	Sin's voice, within the scorner's heart	8.8.8.8 LM	N/A
37A	Psalter Hymnal, The (1912)	Text	The Reward of the Righteous	The good man's steps are lead aright	8.8.6.8.8.6	N/A
37B	Finney, John W.|Sing Psalms (2003)	Music	Do Not Fret on Account of the Wicked	Do not fret on account of the wicked	10.9.10.9 D REFRAIN	N/A
37C	Idle, Christopher|Polman, Bert|Sheppard, Franklin L.	Music	When Evil People Sin	When evil people sin and wrong suppresses right	6.6.8.6 SMD	TERRA BEATA
37D	Sing Psalms (2003)	Text	If the LORD Takes Delight	If the LORD takes delight in a person	10.9.10.9	N/A
38A	Crüger, Johann|Watts, Isaac	Music	Amid Thy Wrath, Remember Love	Amid Thy wrath, remember love	8.6.8.6 CM	GRÄFENBERG
38B	Columbian Harmony (William Moore)|Otte, Helen	Music	Rebuke Me Not in Anger LORD	Rebuke me not in anger, LORD	8.8.8.8 LM	BOURBON
38C	Psalter Hymnal, The (1912)	Text	In Thy Wrath	In Thy wrath and hot displeasure	8.7.8.7	N/A
38D	Lyte, Henry Francis	Text	Rebuke Us Father	Rebuke us, Father, but in love	8.8.8.8 LM	N/A
39A	Steele, Anne	Text	When I Resolv'd	When I resolv'd to watch my thoughts	8.8.8.8 LM	N/A
39B	Sing Psalms (2003)	Music	Now Let me Watch My Ways	I said, Now let me watch my ways	8.6.8.6 CMD	KINLOCHEWE
39C	Chapin Lucius|Cocker, Norman|Leckebusch, Martin	Music	Show Me How to Count My Days	LORD, show me how to count my days	8.8.8.8.8.8	VERNON
39D	Spurgeon, Charles H.	Text	Behold, O LORD	Behold, O LORD, my days are made	8.6.8.6 CM	N/A
40A	Watts, Isaac	Text	I Waited Patient for the LORD	I waited patient for the LORD	8.6.8.6 CM	N/A
40B	Arnold, Esther|Vaughan Williams, Ralph	Music	I Waited Patiently for God	I waited patiently for God until He heard my cry	8.6.8.6 CMD	KINGSFOLD
40C	Sing Psalms (2003)	Music	I Waited Long	I waited long upon the LORD	8.8.8.8 LM	YE BANKS AND BRAES
40D	Scottish Metrical Psalter (1650)	Text	I Waited for the LORD my God	I waited for the LORD my God	8.6.8.6 CM	N/A
41A	Anonymous American Melody|Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	How Bless'd the Man	How Bless'd the man	8.6.8.6 CMD	PILGRIM
41B	Atkinson, Frederick C.|Regier, David P.	Music	Bless'd Is the One	Bless'd is the one with mercy toward the poor	10.10.10.10	MORECAMBE
42A	Nystrom, Martin|Sing Psalms (2003)	Music	As the Deer	As the deer panteth for the water	IRREGULAR	N/A
42B	Wilbur, Gregory D.	Music	As Pants the Deer	As pants the deer for streams of living water	11.10.11.10	PSALM 42A
42C	Searles, Matt	Music	Like Deer In Thirsty Lands	Like deer in thirsty lands	IRREGULAR	N/A
43A	Psalter Hymnal, The (UPCNA, 1887)	Text	Righteous Judge	Righteous Judge, from foes defend	8.7.8.7	N/A
43B	Eiderkin, Dale R.	Music	God, Vindicate Me	God, vindicate me from all the ungodly	11.10.11.10	N/A
44A	Lyte, Henry Francis	Text	LORD, We Have Heard Our Father's Tell	LORD, we have heard our fathers tell	8.6.8.6 CM	N/A
44B	Barthélémon, Francois H.|Spurgeon, Charles H.	Music	Our Ears Have Heard	Our ears have heard, O glorious God	8.6.8.6 CM	BARTHÉLÉMON
44C	Watts, Isaac	Text	LORD, We Have Heard Thy Works of Old	LORD, we have heard thy works of old	8.6.8.6 CM	N/A
44D	Book of Psalms for Worship, The (2010)	Music	O God, We Have Heard of Your Works	O God, we have heard of Your works	11.11.11.11	FOUNDATION
45A	Holst, Gustav|Searles, Matt	Music	O King, You Are Most Worthy	O King, You are most worthy	13.13.13.13.13.13	THAXTED
45B	Sullivan, Arthur|Wesley, Charles	Text	My Heart Is Full of Christ	My heart is full of Christ	8.8.8.8.8.8	N/A
45C	Barnard, Shane|Carter, Sean	Music	Fairest of All	My heart burst at its banks	IRREGULAR	N/A
46A	Barnard, Shane|Miller, Josh|Riddle, Jennie Lee|Warneking, Josiah	Music	LORD of Hosts	O come, behold the works of God	IRREGULAR	N/A
46B	Lyte, Henry Francis	Text	God Is Our Refuge Tried and Proved	God is our Refuge, tried and proven	8.6.8.6 CM	N/A
46C	Regier, David P.	Music	God Is Our Refuge	God is our refuge and our strength	8.8.8.8 LMD	WINCHESTER NEW
46D	Watts, Isaac	Text	God Is the Refuge of His Saints	God is the refuge of his saints	8.8.8.8 LM	N/A
46E	Beall, Mary Kay|Psalter Hymnal, The (1912)	Music	God is Our Refuge and Our Strength	God is our refuge and our strength	8.6.8.6 CMD	GRATUS
46F	Watts, Isaac	Text	Let Zion in her King Rejoice	Let Zion in her King rejoice	8.8.8.8 LM	N/A
47A	Kocher, Conrad|Leckebusch, Martin	Music	All the Earth, Exalt the King	Come from nations far and wide	7.7.7.7.7.7	DIX
47B	Knapp, William|Preston, David G.	Music	O Clap Your Hands, All Nations	O clap your hands, all nations	8.8.8.8 LM	WAREHAM
48A	Elvey, George J.|Psalter Hymnal, The (1987)|Psalter Hymnal, The (UPCNA, 1887)|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	Great Is the LORD Our God	Great is the LORD our God, and greatly to be praised	6.6.8.6 SMD	DIADEMATA
49A	Lyte, Henry Francis|Warren, Norman L.	Music	Jehovah Speaks	Jehovah speaks; let man be awed	8.6.8.6 CM	CREATOR GOD
49B	Sing Psalms (2003)|Southern Harmony, The (William Walker)	Music	Listen To Me, All You Peoples	Listen to me all you peoples	8.7.8.7 D	RESTORATION
49C	Psalter Hymnal, The (1912)	Text	Dust to Dust	Dust to dust, the mortal dies	7.7.7.7 D	N/A
50A	Psalter Hymnal, The (UPCNA, 1887)	Text	The Mighty God Jehovah Spoke	The mighty God Jehovah spoke	8.6.8.6 CM	N/A
50B	Watts, Isaac	Music	The LORD, the Judge	The LORD, the judge	8.6.8.6 CMD	STAR OF THE COUNTY DOWN
50C	Lyte, Henry Francis	Text	O That Day of Dread and Wonder	O that day of dread and wonder	IRREGULAR	N/A
50D	Birks, Thomas R.|Eiderkin, Dale R.	Music	The Mighty God, the LORD Has Spoken	The mighty God, the LORD, has spoken	9.8.9.8 D	WAYFARING STRANGER
50E	Psalter Hymnal, The (1912)	Text	The Eternal Judgement	The mighty God, the LORD	6.6.8.6 SM	N/A
51A	Psalter Hymnal, The (1912)|Redhead, Richard	Music	God Be Merciful to Me	God be merciful to me	7.7.7.7.7.7	REDHEAD
51B	Grindal, Gracia|Schmit, Clayton J.	Music	Have Mercy Upon Me, O God	Have mercy upon me O God	IRREGULAR	N/A
51C	Lyte, Henry Francis	Text	LORD, I Have Sinned	LORD, I have sinned; but, O forgive	8.6.8.6 CM	N/A
52A	Kimbrough, Wendell	Music	Why So Proud O Man of Power	Why so proud, O man of power	8.7.8.7	PSALM 52A
52B	Lyte, Henry Francis	Text	In Vain the Powers of Darkness	In vain the powers of darkness try	8.6.8.6 CM	N/A
52C	Sing Psalms (2003)|Southern Harmony, The (William Walker)	Music	Why Do You Boast of Wickedness	Why do you boast of wickedness	8.6.8.6 CMD	RESIGNATION
53A	Psalter Hymnal, The (1912)|Regier, David P.	Text	LORD, What a World	LORD, what a world of sense and sing	8.8.8.8 LM	N/A
53B	Genevan Psalter	Music	Lo, There Is no God in Heaven	Lo, there is no God in heaven	8.7.8.7.8.7	PICARDY
53C	Crotch, William|Sing Psalms (2003)	Music	The Fool Says in His Heart	The fool says in his heart	6.6.8.6 SM	ST. MICHAEL
54A	Sing Psalms (2003)	Text	Save me, O God	Save me, O God, by Your great name	8.6.8.6 CM	N/A
54B	Book of Psalms for Worship, The (2010)|Geistliche Volkslieder (Paderborn)	Music	By Your Name, O God	By Your name, O God, now save me	8.7.8.7 D	EBENEZER
54C	Psalter Hymnal, The (1912)	Text	O Save Me By Your Name	O save me by Your Name	6.6.8.6 SM	N/A
54D	Hatton, John|Regier, David P.	Music	Save Me, O God, By Thine Own Name	Save me, O God; by Thine own name	8.8.8.8 LM	DUKE STREET
55A	Sing Psalms (2003)	Music	O God, Please Listen to My Prayer	O God, please listen to my prayer	8.6.8.6 CMD	STAR OF THE COUNTY DOWN
55B	Watts, Isaac	Text	By Morning Light	By morning light I'll seek His face	8.6.8.6 CM	N/A
55C	Otte, Helen|Twit, Kevin	Music	I Need Your Help, O LORD, My God	I need Your help, O LORD my God	8.6.8.6 CMD	N/A
55D	Watts, Isaac	Text	Let Sinners Take Their Course	Let sinners take their course	6.6.8.6 SM	N/A
56A	Lyte, Henry Francis	Text	LORD, Be Merciful to Me	LORD, be merciful to me	7.7.7.7.7.7	N/A
56B	Carlill, Adam|Scheer, Greg	Music	O God, In Mercy Look to Me	O God, in mercy look to me	8.6.8.8.6.6	N/A
56C	Dudley-Smith, Timothy|Sullivan, Arthur	Music	Merciful and Gracious Be	Merciful and gracious be, O most High	7.7.7.7.7.7	MOUNT ZION
57A	Psalter Hymnal, The (1912)	Text	O God, Be Merciful to Me	O God, be merciful to me	8.8.8.8 LM	N/A
57B	Sparkman, Josh	Music	I Will Awake the Dawn	O God, be merciful to me	IRREGULAR	N/A
57C	Malan, César|Regier, David P.	Music	Show Thy Mercies, LORD, to Me	Show Thy mercies, LORD, to me	7.7.7.7.7	HENDON
57D	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)|Wilbur, Gregory D.	Music	Be Thou, O God, Exalted High	Be Thou O God exalted high	8.8.8.8 LM REPEATS	EXALTED HIGH
57E	Chambers, Brent	Music	Be Exalted, O God	I will give thanks to Thee	IRREGULAR	N/A
58A	Lyte, Henry Francis	Text	Christians, Are the Words You Speak	Christians, are the words you speak	7.7.7.7	N/A
58B	Psalter Hymnal, The (1912)|Sing Psalms (2003)	Music	You Rulers, Do You Know	You rulers, do you know what justice is?	10.10.10.10	THE ISLE OF MULL
58C	Crüger, Johann	Music	Do You, O Men, Speak Righteousness	Do you, O men, speak righteousness	8.6.8.6 CM	GRÄFENBERG
59A	Book of Psalms for Singing, The (1973)|Sibelius, Jean	Music	I Wait for You	I Wait for You, because You are my strength	10.10.10.10.10.10	FINLANDIA
59B	Allen, William|Lowry, Robert	Music	I Am Hated, LORD!	I am hated LORD!	7.7.7.7	HANSON PLACE
60A	Lyte, Henry Francis	Text	Why Have You Cast Us Off O Lord	Why have You cast us off, O Lord	8.8.8.8 LM	N/A
60B	Dudley-Smith, Timothy|Wilbur, Gregory D.	Music	When Troubles Come	When troubles come and hopes depart	8.6.8.6 CMD	PSALM 60 NEW
60C	Bradbury, William B.|Spurgeon, Charles H.	Music	O, God, You Have Cast off Your Saints	O, God, You have cast off Your saints	8.8.8.8 LM	SOLID ROCK
61A	Psalter Hymnal, The (1912)	Text	O God, Give Ear Unto My Cry	O God, give ear unto my cry	8.6.8.6 CM	N/A
61B	Warren, Norman L.|Wigmore, Paul	Music	O God, Hear Me Calling and Answer	O God, hear me calling and answer, I pray!	11.11.11.11	STOWEY
61C	Silver, Andy	Music	Hear My Cry, O God	Hear my cry, O God	IRREGULAR	HEAR MY CRY
61D	Sing Psalms (2003)	Text	O Hear My Urgent Cry, My God	O hear my urgent cry, my God	8.6.8.6 CM	N/A
62A	Psalter Hymnal, The (1912)	Text	My Soul in Silence Waits for God	My soul in silence waits for God	8.6.8.6 CM	N/A
62B	Kimbrough, Wendell	Music	I'll Not Be Shaken	For God alone I wait in silence	IRREGULAR	N/A
62C	Bunting, Kenton|Kauflin, Bob	Music	My Soul Will Wait	When the enemy surrounds	IRREGULAR	N/A
62D	Lyte, Henry Francis|Mason, Lowell	Music	On God, on God My Soul Relies	On God, on God my soul relies	8.8.8.8 LM	ROCKINGHAM
62E	Keyes, Aaron|Townend, Staurt	Music	My Soul Finds Rest	My soul finds rest in God alone	8.7.8.7 D REFRAIN	N/A
63A	Psalter Hymnal, The (1912)	Text	O Lord, My God	O Lord, my God most earnestly	8.6.8.6 CMD	N/A
63B	Davidson, David|MacKrell, Fred	Music	O God, You are My God!	O God, You are my God!	IRREGULAR	N/A
63C	Sparkman, Josh	Music	Better Than Life	O God, You are my God	IRREGULAR	N/A
64A	Silver, Jason	Music	Oppressed, but Rejoicing	Hear my voice, O God, in my complaint	IRREGULAR	N/A
64B	Psalter Hymnal, The (1912)	Text	Hear, LORD, the Voice of My Complaint	Hear, LORD, the voice of my complaint	8.6.8.6 CMD	N/A
64C	Book of Psalms for Worship, The (2010)|Dougall, Neil	Music	God, Hear My Voice	God, hear my voice, hear my complaint	8.6.8.6 CM	KILMARNOCK
65A	Kreider, Dan|Regier, David P.	Music	Praise Awaits You, God, In Zion	Praise awaits You, God in Zion	8.7.8.7 D	KUŘIM
65B	Dudley-Smith, Timothy	Text	Every Heart Its Tribute Pays	Every heart its tribute pays	7.7.7.7 D	N/A
65C	Sing Psalms (2003)	Music	In Zion Praise Awaits You, LORD	In Zion praise awaits You, LORD	8.6.8.6 CM	AULD LANG SYNE
